X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,User_fld,Addr_type,IN_Street,IN_City,IN_ZIP,IN_State,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year
-86.2699004486961,41.6877811413609,51,Danielle-Cente,M,100,A,"1000 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,1000 N Diamond Ave. ,South Bend,,IN,2016/04/23 05:00:00+00,1000 N Diamond Ave. ,South Bend,IN,No,2016
-86.2692074001408,41.6908967188749,52,Danielle-Cente,T,100,A,"1200 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,1200 N Diamond Ave. ,South Bend,,IN,2017/02/09 05:00:00+00,1200 N Diamond Ave. ,South Bend,IN,No,2017
-86.2698902852483,41.6873961220062,53,Danielle-Cente,M,100,A,"900 N DIAMOND AV, SOUTH BEND, 46628",R,0,StreetAddress,900 N Diamond Ave. ,South Bend,,IN,2016/07/03 05:00:00+00,900 N Diamond Ave. ,South Bend,IN,No,2016
-86.2671770265189,41.6522290295508,54,Danielle-Cente,M,90.87,A,"1200 W DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,1200 E Donald St. ,South Bend,,IN,2017/04/15 05:00:00+00,1200 E Donald St. ,South Bend,IN,No,2017
-86.2460602106223,41.6525735312986,55,Danielle-Cente,M,100,A,"300 E DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,300 E Donald St. ,South Bend,,IN,2017/12/01 05:00:00+00,300 E Donald St. ,South Bend,IN,No,2017
-86.2460602106223,41.6525735312986,56,Danielle-Cente,M,100,A,"300 E DONALD ST, SOUTH BEND, 46613",L,0,StreetAddress,300 E Donald St. ,South Bend,,IN,2016/07/24 05:00:00+00,300 E Donald St. ,South Bend,IN,No,2016
-86.2479096357138,41.6568555617467,57,Danielle-Cente,T,86.3,A,"202 E DUBAIL AV, SOUTH BEND, 46613",L,0,StreetAddress,200 E Dubail St. ,South Bend,,IN,2015/11/09 05:00:00+00,200 E Dubail St. ,South Bend,IN,No,2015
-86.2610656846944,41.6563836653885,58,Danielle-Cente,M,89.04,A,"800 W DUBAIL AV, SOUTH BEND, 46613",L,0,StreetAddress,800 W Dubail St. ,South Bend,,IN,2017/08/29 05:00:00+00,800 W Dubail St. ,South Bend,IN,No,2017
-86.2717014652581,41.6666976083343,59,Danielle-Cente,M,100,A,"1500 W DUNHAM ST, SOUTH BEND, 46619",L,0,StreetAddress,1500 W Dunham St. ,South Bend,,IN,2017/05/02 05:00:00+00,1500 W Dunham St. ,South Bend,IN,No,2017
-86.2496506832514,41.6461999701452,60,Danielle-Cente,M,100,A,"100 E ECKMAN ST, SOUTH BEND, 46614",R,0,StreetAddress,100 E Eckman St. ,South Bend,,IN,2015/05/19 05:00:00+00,100 E Eckman St. ,South Bend,IN,No,2015
-86.2451755811979,41.6463133841755,61,Danielle-Cente,M,100,A,"400 E ECKMAN ST, SOUTH BEND, 46614",R,0,StreetAddress,400 E Eckman St. ,South Bend,,IN,2017/06/15 05:00:00+00,400 E Eckman St. ,South Bend,IN,No,2017
